root,frequency
ve,1226
madde,1095
ol,1094
veya,924
bir,801
bu,555
miras,527
ver,464
mal,453
hakk,438
ed,369
taşınmaz,330
hal,323
bulun,319
yap,315
al,307
hak,281
eş,273
için,267
ile,262
iste,261
kişi,245
borç,236
alacak,232
diğer,227
kendi,225
hüküm,222
da,216
malik,213
biri,208
son,201
a,197
öde,197
karar,196
her,195
yüküm,191
kur,190
et,189
er,185
vesayet,183
ilişkin,181
tasarruf,176
kar,168
ı,168
tarih,168
gerek,166
yönet,166
b,163
durum,163
ana,163
tescil,157
rehin,157
baba,156
e,154
pay,154
kanu,152
istem,143
mülkiyet,143
kimse,142
o,139
önce,138
aç,137
alt,136
karşı,136
evlen,133
edin,131
içinde,130
de,130
on,129
ya,129
kazan,128
alın,128
kal,127
tapu,127
hakim,126
tereke,126
ancak,124
yıl,124
kullan,122
bağ,122
başla,122
mahkeme,122
yer,122
tarafından,122
genel,121
getir,118
sür,118
görev,118
makam,115
yetki,114
başka,114
sahip,112
dava,111
konu,109
yerine,109
üzerinde,109
sahib,108
değer,108
sebep,106
dav,106
göre,105
üzerine,104
sonra,104
belirle,104
saklı,103
taşın,103
vasi,102
değiş,101
uygun,99
çıkar,99
geç,98
kişisel,98
kütüğ,98
sened,97
sözleşme,97
gerekli,96
ilgili,96
paylaş,96
zilyet,95
ara,94
çocuk,93
ölü,92
en,91
aile,91
geri,91
çocuğ,90
c,89
ye,89
evlat,89
koşul,88
birlikte,88
intifa,88
koru,87
olur,87
iş,87
uygula,86
düş,86
doğ,86
üzer,84
üçüncü,82
gibi,81
ata,81
ise,80
düzenle,80
taraf,79
an,79
bildir,79
göster,78
süre,78
üzere,77
ait,77
vasiyet,77
arazi,76
kurul,75
iptal,75
güve,75
yararlan,74
yük,74
yasal,74
özel,73
resmi,72
yerleşim,72
ay,72
rıza,71
aynı,71
üye,71
takdirde,70
sulh,70
işlem,69
ortak,69
zarar,69
sayılı,68
önlem,68
gider,67
sağ,67
bedel,67
dernek,66
tamam,66
rehn,66
kaldır,65
şey,65
vasiyetname,64
irtifak,64
bütün,63
yazılı,63
kabul,63
haki,62
sorumlu,62
hakkında,62
yoluyla,62
ipotek,62
kural,61
iyiniyet,61
tazminat,61
fıkra,61
dış,61
ispat,60
ilan,60
mahke,60
tasfiye,60
ayırım,60
miktar,60
say,59
memur,59
katıl,59
in,58
bırak,58
boşan,58
teslim,58
tutul,57
gör,56
ortaklığ,56
ölçü,55
iv,55
borc,55
şekil,55
hukuk,54
zor,54
sicil,54
var,54
olmadık,54
el,54
değişik,54
defter,54
ortaklık,54
d,53
senet,53
yapılan,53
sınır,52
gel,52
zaman,52
belge,51
üst,51
tabi,51
sebeb,51
irat,51
mira,51
açık,50
orta,50
kuruluş,50
az,50
itiraz,50
ilişki,49
güc,49
yetkili,49
yaz,49
amac,49
temsil,49
değil,48
ibare,48
yapı,48
kısıtla,48
kamu,47
anlaş,47
özgü,47
iki,47
sebebiyle,47
ön,46
gerçek,46
ileri,46
evlilik,46
tanı,45
devam,45
gün,45
işle,45
aşağı,45
zamanaşım,45
rejim,45
aksi,45
işletme,45
ergin,44
v,44
daha,44
ikinci,44
usul,44
suret,44
belirt,44
denet,44
üç,44
vakıf,44
eşle,44
terk,44
değ,44
tenkis,44
paydaş,44
biçim,43
yarar,43
yeni,42
ölüm,42
para,42
reji,42
oluş,41
gir,41
beş,41
tehlike,41
k,41
sırasında,41
menfaat,41
kısm,41
birinci,40
ayırt,40
velayet,40
bile,40
geçerli,40
şerh,40
tut,39
temsilci,39
cumhurbaşkan,39
ek,39
otur,38
tüzel,38
malvarlık,38
satış,38
ehliyet,37
aykırı,37
kayıt,37
belirli,37
öl,37
zorunlu,37
olanak,37
su,37
eşya,37
sıra,37
kayy,37
rehned,37
yoksa,36
bağla,36
kısıt,36
kıl,36
çok,36
büyük,36
ev,36
olağan,36
öngör,36
nafaka,36
karşılık,35
toplantı,35
icra,35
beyan,35
varlığ,34
aş,34
organ,34
tüzük,34
önem,34
küçük,33
derece,33
öğren,33
devlet,33
un,33
şekl,33
izn,33
yönetmelik,33
vakf,33
böl,33
hukuki,32
sonuç,32
dayan,32
bakı,32
anayasa,32
kadar,32
birliğ,32
karşılığ,32
konut,32
pa,32
denk,32
kapsam,31
kusur,31
başvuru,31
r,31
resmen,31
sağla,31
ak,31
sözleş,31
sat,31
bölü,30
ad,30
devred,30
fazla,30
özellikle,30
geçer,30
yaşa,30
uy,29
göz,29
hakla,29
belli,29
sürekli,29
kesin,29
gaip,29
oran,29
par,29
art,29
hısım,28
çık,28
kayd,28
geçir,28
bildiri,28
geçici,28
yükle,28
ret,28
ayrılığ,28
kurtar,28
parça,28
fiil,27
ir,27
akıl,27
bul,27
kalk,27
eğitim,27
yol,27
koşulla,27
faiz,27
aksine,26
evliliğ,26
birden,26
uğra,26
sorumluluk,26
iz,26
devri,26
iyi,25
nitelik,25
hükm,25
esas,25
rapor,25
engel,25
yeniden,25
leh,25
kay,24
si,24
tebliğ,24
faaliyet,24
sonradan,24
redd,24
arzu,24
feragat,24
şe,24
yok,23
meydan,23
sınırla,23
niteliğ,23
ne,23
kaçın,23
başvur,23
çevr,23
gecik,23
bakımından,23
iflas,23
güvence,23
at,23
ayni,23
komşu,23
kısım,22
yaş,22
gelen,22
türlü,22
altı,22
derneğ,22
gelir,22
yüz,22
daire,22
hayat,22
artır,22
hastalığ,21
doğur,21
tür,21
khk,21
uyarınca,21
elbir,21
meslek,21
eski,21
ayrıl,21
hesab,21
eşit,20
yoksun,20
kan,20
doğu,20
tespit,20
böyle,20
düşür,20
kayded,20
altso,20
yeterli,20
bil,20
herhangi,20
muaccel,20
gid,20
adet,19
görüş,19
herkes,19
doğru,19
sağlık,19
davacı,19
etki,19
sürül,19
nüfus,19
iç,19
amaç,19
n,19
butlan,19
noter,19
koca,19
sadece,19
karşıla,19
asıl,18
kişilik,18
yüzünden,18
sonuc,18
saldırı,18
ayrıca,18
yalnız,18
sıfat,18
sorumluluğ,18
küçüğ,18
ürün,18
ağır,18
kira,18
bulundur,18
kıymet,18
sigorta,18
malzeme,18
yet,17
iddia,17
birbiri,17
kişiliğ,17
edim,17
davalı,17
bak,17
beri,17
yerleş,17
birleş,17
yerel,17
yürüt,17
yar,17
lir,17
ayrı,17
mevcut,17
katkı,17
kapsa,17
hesapla,17
sanat,17
doğal,17
kötü,16
hakkaniyet,16
kanun,16
buna,16
zedele,16
bilgi,16
yakın,16
mülga,16
ekonomik,16
mali,16
alacağ,16
yıllık,16
evrak,16
ar,16
sosyal,16
devir,16
hesap,16
redded,16
il,16
eklenti,16
ödünç,16
ispatla,15
kurum,15
evli,15
şart,15
çalış,15
inci,15
kaynak,15
derhal,15
kendiliğinden,15
husus,15
şekli,15
bölüm,15
le,15
vı,15
anlaşma,15
benzeri,15
la,15
kor,15
hapis,15
doldur,14
yabancı,14
henüz,14
ilk,14
soyad,14
sin,14
rücu,14
tazmin,14
tüzüğ,14
otuz,14
cumhuriyet,14
dil,14
görevlen,14
yu,14
baş,14
dördüncü,14
kayb,14
zilyed,14
mecra,14
parsel,14
belgele,13
benzer,13
tan,13
maddi,13
kim,13
üstün,13
h,13
gaib,13
bağımsız,13
savcı,13
kaybed,13
davranış,13
olağanüstü,13
kat,13
adına,13
yarı,13
dahil,13
yasak,13
serbest,13
idare,13
harca,13
dinle,13
ayrılık,13
kes,13
özen,13
ihtiyaç,13
plan,13
bütünle,13
sayfa,13
önal,13
hayvan,13
içeriğ,12
hangi,12
ceza,12
kısmen,12
manevi,12
aynen,12
düzelt,12
sağlığ,12
kütük,12
irade,12
dolayı,12
fesh,12
gözet,12
hazır,12
kıyas,12
doğrudan,12
dön,12
tamamen,12
dönüş,12
reddet,12
arı,12
aciz,12
devr,12
yükün,12
takdir,11
olmadığ,11
isteğ,11
uzun,11
ama,11
gereğ,11
sok,11
önceden,11
geçen,11
noksan,11
gereğince,11
ün,11
ki,11
uyuş,11
yukarı,11
g,11
resen,11
y,11
im,11
dağıt,11
zengin,11
sözlü,11
s,11
hemen,11
yön,11
sürdür,11
taşı,11
tarım,11
tar,11
tahvil,11
hamile,11
şek,10
ehil,10
zayıf,10
sayı,10
m,10
haber,10
hiç,10
yargıla,10
gazete,10
sütun,10
çıkma,10
çağrı,10
aran,10
mutlak,10
şube,10
özgüle,10
katlan,10
töre,10
yanıl,10
azalt,10
mes,10
imzala,10
takib,10
artık,10
yatır,10
ora,10
mir,10
aracı,10
devret,10
hem,10
bölge,10
kanuni,10
koy,9
i,9
öze,9
olamaz,9
kon,9
ahlak,9
aşı,9
halk,9
karine,9
bildirim,9
araştır,9
topluluk,9
f,9
kurula,9
lan,9
oy,9
güç,9
engelle,9
ertele,9
te,9
defa,9
u,9
federasyon,9
müdür,9
tamamla,9
bit,9
sak,9
ihtar,9
deva,9
geçim,9
gelecek,9
vıı,9
tek,9
kari,9
geçersiz,9
meclis,9
hizmet,9
mühürle,9
oku,9
istihkak,9
bina,9
orman,9
ipoteğ,9
söz,8
nasıl,8
davran,8
bek,8
yerin,8
vazgeç,8
dolayısıyla,8
kaybol,8
kuvvet,8
geçmiş,8
amaçla,8
hiçbir,8
metn,8
tam,8
başkan,8
boşal,8
vakfed,8
bağışla,8
nişan,8
hediye,8
ur,8
onayla,8
ilgi,8
dönme,8
yoksul,8
gözetim,8
cebri,8
ihbar,8
azal,8
edi,8
taş,8
re,8
masraf,8
elverişli,8
dört,8
özgürlüğ,8
kayyım,8
yirmi,8
kurtul,8
aşçı,8
biç,8
zanaatkar,8
kupon,8
hakimiyet,8
aşırı,7
mümkün,7
erin,7
ger,7
em,7
şahsen,7
doğum,7
mülki,7
amir,7
asliye,7
fark,7
yönetim,7
ödenti,7
ti,7
çoğunluğ,7
seç,7
denetle,7
şu,7
acz,7
şa,7
iğ,7
zorla,7
birbir,7
gebe,7
imza,7
tanığ,7
dini,7
çekil,7
aldat,7
korkut,7
yönelik,7
t,7
beraber,7
bilir,7
olmaz,7
emek,7
dikkat,7
güvenlik,7
sermaye,7
değerlendir,7
mahsup,7
yatırım,7
dönem,7
mi,7
yürürlüğ,7
dan,7
etkile,7
yetiş,7
talimat,7
tevdi,7
uzat,7
yurd,7
uyuştur,7
bağımlı,7
infaz,7
yerinde,7
danışman,7
içer,7
anında,7
takip,7
geçit,7
türk,7
emtia,7
olgu,6
ayrık,6
se,6
yayımla,6
numara,6
rahm,6
araç,6
çağır,6
cinsiyet,6
cümle,6
incel,6
bazı,6
çağrıl,6
tüket,6
alıkoy,6
hu,6
küm,6
ala,6
konfederasyon,6
anlaşılan,6
alış,6
erkek,6
kadın,6
kadı,6
kardeş,6
incele,6
it,6
boşanma,6
fiilen,6
nan,6
müteselsilen,6
huzur,6
müdahale,6
haciz,6
sürü,6
ekle,6
mı,6
geçiş,6
mahsuben,6
kaybet,6
hazine,6
fiili,6
eğit,6
bakan,6
olanağ,6
yan,6
eri,6
arsa,6
mad,6
uğraş,6
ortağ,6
üz,6
alkol,6
saklan,6
devral,6
dolma,6
orantı,6
tanık,6
def,6
arz,6
karış,6
üstlen,6
kaynakla,6
taşkın,6
nam,6
makbuz,6
yolsuz,6
kanıt,5
veli,5
tir,5
küçükle,5
kayın,5
ticari,5
arın,5
kazanc,5
tarihi,5
lira,5
eğer,5
dol,5
bakanlığ,5
bilinmeyen,5
kazanç,5
ince,5
izle,5
yurt,5
temel,5
fa,5
yeterince,5
işçi,5
ari,5
ayı,5
nisan,5
yürürlük,5
eşin,5
onur,5
hastalık,5
zina,5
es,5
bizzat,5
toptan,5
ıra,5
yardımcı,5
temsili,5
örtü,5
önle,5
nedeniyle,5
kullanım,5
kast,5
eksik,5
payla,5
tak,5
beşinci,5
beden,5
muhtaç,5
usuli,5
topluluğ,5
tesis,5
savurgan,5
tarz,5
satı,5
değerli,5
ücret,5
şikayet,5
yanlış,5
bağdaş,5
tahsil,5
yolla,5
ele,5
muhafaza,5
aralık,5
sonunda,5
kefalet,5
giriş,5
itibarıyla,5
işgal,5
yöre,5
sula,5
seri,5
kolluk,5
bilimsel,4
dürüst,4
kitap,4
düzen,4
sekiz,4
yeteneğ,4
maya,4
hışım,4
sınai,4
ba,4
nakli,4
vekalet,4
dosya,4
cesed,4
örnek,4
türki,4
onay,4
zorunluluğ,4
tıbbi,4
kaydol,4
güd,4
yedi,4
örgüt,4
ibaret,4
ta,4
zümre,4
boz,4
oluşum,4
top,4
ge,4
yeter,4
vekil,4
uluslararası,4
duruşma,4
silin,4
bozul,4
pek,4
dinlen,4
muhtar,4
cüzdan,4
örneğ,4
razı,4
haysiyet,4
sı,4
sarsıl,4
olay,4
feri,4
yetersiz,4
ciddi,4
envanter,4
güçlük,4
içeri,4
elden,4
peşin,4
kesim,4
toplam,4
sur,4
paylaşım,4
indir,4
as,4
soy,4
cinsel,4
arak,4
nerede,4
tutanağ,4
zihin,4
bent,4
sarfed,4
sın,4
öncelikle,4
aks,4
sır,4
öğrenim,4
mall,4
döne,4
uz,4
vade,4
istek,4
sakat,4
danışmanlık,4
dile,4
pazarlık,4
dur,4
tutar,4
kayyum,4
acele,4
aylık,4
kanunen,4
yazar,4
tanıkla,4
rağmen,4
çeyiz,4
kasten,4
ce,4
alan,4
bölüş,4
muacceliyet,4
nakl,4
veri,4
çevir,4
bölümle,4
toprak,4
sürükle,4
bitki,4
sökül,4
yapın,4
kazı,4
dal,4
akıt,4
kuru,4
geçid,4
yeraltı,4
taksit,4
terkin,4
yenile,4
dağıtım,4
ipotekle,4
defi,4
dolay,4
gasp,4
öz,3
düze,3
tüm,3
niyet,3
ülke,3
veba,3
özgürlük,3
biyolojik,3
başlangıc,3
hepsi,3
çek,3
mark,3
ekli,3
kimliğ,3
düşünce,3
örgütle,3
aracılığıyla,3
ulu,3
güt,3
lu,3
ik,3
ilke,3
din,3
z,3
onursal,3
gündem,3
açıla,3
yedek,3
sun,3
üs,3
işbir,3
şalvar,3
milli,3
sil,3
san,3
çerçeve,3
bekle,3
hasta,3
reddol,3
basit,3
açıkla,3
batıl,3
eylem,3
suç,3
sürme,3
uyarı,3
ha,3
kanaat,3
hükmol,3
olasılığ,3
vıdı,3
muhakeme,3
seçim,3
uzman,3
may,3
güvenliğ,3
serded,3
irin,3
yönelt,3
edinim,3
yara,3
mesleğ,3
ın,3
ömür,3
ödem,3
mülkiye,3
or,3
özellik,3
bitim,3
aleyh,3
inandırıcı,3
sel,3
balık,3
hazin,3
hafta,3
dahi,3
kin,3
geliş,3
kaç,3
altıncı,3
olgun,3
kule,3
sarf,3
zorunluluk,3
p,3
kuşku,3
duy,3
ister,3
daya,3
yolun,3
ayet,3
idari,3
vali,3
kefil,3
alıkonul,3
ulaş,3
itibaren,3
vakit,3
güven,3
parala,3
ona,3
zamanında,3
doğma,3
yıldır,3
halefiyet,3
aşın,3
kaz,3
sigortacı,3
getiri,3
ağlı,3
ede,3
kök,3
anlat,3
taahhüt,3
ihmal,3
ip,3
güvenilir,3
mah,3
ifade,3
garanti,3
oybirlik,3
toprağ,3
dışarı,3
ayır,3
tescille,3
araz,3
heyelan,3
kap,3
işaret,3
fidan,3
alıcı,3
topla,3
zararına,3
oğl,3
kaynağ,3
ödül,3
öncelik,3
dayanağ,3
ibraz,3
ödünc,3
görün,3
yevmiye,3
örf,2
yargı,2
insa,2
insan,2
akla,2
sıkı,2
halen,2
düzeltmen,2
çekiş,2
kanıtla,2
ölümüne,2
gözle,2
olasılık,2
dışiş,2
başbakan,2
yöntem,2
yine,2
kıs,2
cins,2
ticaret,2
şirket,2
emred,2
altmış,2
açma,2
durdur,2
ırk,2
katılım,2
saat,2
merkez,2
salt,2
çoğunluk,2
yazma,2
seçil,2
istisna,2
stso,2
asil,2
ni,2
ır,2
bağış,2
yardım,2
mensup,2
destekle,2
nezdinde,2
temyiz,2
merkezi,2
gönder,2
nişanla,2
vaad,2
ermeni,2
beledi,2
köy,2
av,2
sor,2
olumlu,2
fakat,2
but,2
namus,2
gizle,2
yarak,2
karı,2
uf,2
affed,2
hay,2
kır,2
kasted,2
ötürü,2
sonuçla,2
ikrar,2
açıl,2
barın,2
bekar,2
yılla,2
ş,2
öner,2
ağla,2
duyuru,2
kirala,2
uyar,2
yas,2
ört,2
bor,2
batık,2
haczed,2
hacz,2
boyunca,2
çağ,2
yanında,2
varsay,2
ırak,2
kaynaklan,2
dır,2
ürü,2
aşkın,2
yard,2
kayıtla,2
araştırma,2
ilgilen,2
dair,2
erg,2
kala,2
üvey,2
toplum,2
yetenek,2
tina,2
çare,2
deneyim,2
savsakla,2
ban,2
yedinci,2
tire,2
abi,2
rum,2
çırak,2
düz,2
adil,2
alpsoy,2
fesih,2
elli,2
ortalama,2
kış,2
istisnai,2
us,2
tehdit,2
erek,2
anma,2
millet,2
çatış,2
ataman,2
rind,2
ivedi,2
birk,2
kambiyo,2
taahhüd,2
anır,2
arzed,2
bulaşıcı,2
tedavi,2
ıslah,2
elver,2
düğü,2
hekim,2
iri,2
tahkikat,2
orun,2
ihale,2
versay,2
tahkim,2
konkordato,2
masa,2
iye,2
sebebiyet,2
zar,2
eşay,2
taleb,2
gıldır,2
yitir,2
sars,2
ri,2
altın,2
test,2
sal,2
avlan,2
andır,2
lehdar,2
işbırak,2
rahat,2
hasar,2
aka,2
yazı,2
name,2
sakla,2
yasakla,2
arac,2
tep,2
daral,2
hareket,2
hazırla,2
tali,2
öldür,2
yazım,2
tutanak,2
hiçbiri,2
banka,2
bilinen,2
keme,2
çöz,2
haczet,2
eşme,2
adi,2
unsur,2
uğrat,2
unla,2
kararla,2
dek,2
birik,2
bitişik,2
internet,2
site,2
duvar,2
parmaklık,2
çit,2
taşır,2
tasma,2
tün,2
başlı,2
gaz,2
elektrik,2
dik,2
kaçınılmaz,2
çıkart,2
akl,2
bataklık,2
nakled,2
rüzgar,2
çiğ,2
rastlantı,2
hapset,2
yangın,2
nokta,2
kirlet,2
çoğal,2
tekrar,2
işyer,2
kov,2
emeğ,2
parselle,2
harap,2
vergi,2
resim,2
prim,2
ocak,2
içerik,2
kapat,2
kredi,2
kısmi,2
boş,2
çevirme,2
satıcı,2
milyon,2
bağlantı,2
sene,2
hin,2
vere,2
kavram,2
asli,2
şah,2
emin,2
çal,2
medeni,2
dokuz,2
değin,1
emret,1
sarhoş,1
alay,1
kökten,1
tansoy,1
yeridir,1
öğreti,1
sinir,1
lama,1
köken,1
saldır,1
bas,1
partal,1
değişmez,1
tamamıyla,1
gerçekten,1
ışte,1
ga,1
iplik,1
memleket,1
öneri,1
transseksüel,1
ruh,1
açı,1
hastane,1
ameliyat,1
üre,1
lunar,1
amiş,1
emr,1
başlıbaşına,1
yaradılış,1
soru,1
eğiş,1
mam,1
no,1
keyfiyet,1
sayıla,1
renk,1
mezhep,1
sınıf,1
ayrıcalık,1
oden,1
sadakat,1
man,1
yel,1
tamsay,1
raporla,1
doğrultu,1
türkiye,1
yaban,1
üçer,1
kın,1
cemaat,1
anca,1
açıklama,1
imar,1
abid,1
işveren,1
ulusal,1
arınç,1
kalın,1
hakem,1
azı,1
takvim,1
yad,1
j,1
ez,1
cay,1
fedakar,1
mis,1
amca,1
dayı,1
hala,1
teyze,1
yeğen,1
üstsb,1
ağ,1
tören,1
maş,1
cevap,1
yazış,1
land,1
avaşin,1
nisbi,1
düşün,1
korku,1
atak,1
ast,1
maksad,1
sonuçsuz,1
dul,1
tas,1
aşina,1
raf,1
boşa,1
derken,1
git,1
vicdanen,1
esen,1
yem,1
imib,1
gizli,1
mutlu,1
bakım,1
eber,1
aber,1
sadık,1
seçi,1
beraberce,1
yaşam,1
ekili,1
feshed,1
mass,1
uzlaş,1
katkıla,1
esirge,1
sema,1
tatmin,1
personel,1
birma,1
diger,1
başlangıç,1
eksil,1
devre,1
takas,1
blind,1
birim,1
katil,1
yaşantı,1
mülk,1
geleceğ,1
ötür,1
arab,1
eray,1
yarat,1
günlük,1
çürü,1
kek,1
çin,1
tığ,1
çakış,1
acı,1
kork,1
link,1
altışar,1
dam,1
bab,1
muvafakat,1
talep,1
naklen,1
kil,1
özr,1
iliş,1
kliğ,1
kavuş,1
tavır,1
şak,1
diril,1
çifte,1
saygı,1
anlayış,1
co,1
çük,1
menfa,1
ati,1
ada,1
depo,1
ısrar,1
hazırlığ,1
gelişigüzel,1
heba,1
üş,1
terked,1
ruhsal,1
ahlaki,1
gelişim,1
eğilim,1
mesleki,1
özürlü,1
özgür,1
do,1
raşid,1
manen,1
bask,1
vela,1
uydur,1
döküm,1
ac,1
içim,1
hes,1
göt,1
mü,1
har,1
camla,1
refah,1
ılık,1
hi,1
sim,1
işçilik,1
çim,1
öğle,1
nim,1
inanç,1
uçuğ,1
ters,1
saman,1
mana,1
mina,1
taksi,1
birey,1
donanım,1
kuşak,1
kuşağ,1
aral,1
belirsiz,1
hasat,1
mevsim,1
iktisadi,1
öteki,1
öbür,1
hesaplaş,1
sanayi,1
normal,1
ihtimali,1
ıtır,1
devrol,1
eliyle,1
ali,1
fi,1
büdü,1
darlık,1
muhit,1
lig,1
bilirkişi,1
tanzim,1
zer,1
önceliğ,1
güçlükle,1
silik,1
meal,1
düşman,1
özür,1
cumhur,1
vasıl,1
işte,1
cenin,1
hayır,1
sair,1
serseri,1
enen,1
çevre,1
külfet,1
alık,1
leş,1
bilgilen,1
vücud,1
tükürük,1
tırnak,1
örnekle,1
bild,1
ivedilikle,1
adli,1
ke,1
dert,1
alvar,1
bank,1
menkul,1
zen,1
sit,1
umu,1
tın,1
eneğ,1
ikişer,1
vatandaş,1
boy,1
çelenk,1
mahkumiyet,1
kılığ,1
gen,1
bitir,1
muhtemel,1
ihtiyati,1
tutuk,1
maka,1
asiye,1
eğin,1
imtiyaz,1
cı,1
ruf,1
çak,1
cenaze,1
siz,1
tayin,1
ısın,1
çeşit,1
anlam,1
tasar,1
dü,1
yed,1
ras,1
bağışık,1
siy,1
işlev,1
kumaş,1
asl,1
pal,1
savaş,1
ken,1
asker,1
teğmen,1
yüksek,1
rütbe,1
subay,1
seyr,1
ist,1
yandır,1
meşe,1
liste,1
list,1
müdahil,1
aşk,1
faz,1
elle,1
am,1
maks,1
satınal,1
tahmin,1
mahsub,1
diyet,1
teşebbüs,1
ayan,1
aff,1
verecek,1
terek,1
araf,1
kimi,1
mühür,1
şüphe,1
güvenç,1
ticarethane,1
imalathane,1
inme,1
ıh,1
bar,1
deh,1
üşü,1
tekrarla,1
be,1
yani,1
maled,1
tanınmış,1
aktif,1
pasif,1
ci,1
birkaç,1
tasarla,1
yürü,1
mevcud,1
torun,1
dar,1
davet,1
huş,1
adalet,1
sup,1
geleneğ,1
sonuçlandır,1
özleş,1
alla,1
borsa,1
müteselsil,1
mute,1
teselsül,1
elatma,1
bol,1
ahzet,1
onarım,1
çoğunlukla,1
herbiri,1
temsilen,1
vergile,1
bağlama,1
çiğne,1
tem,1
tevdiine,1
nur,1
caiz,1
yaygın,1
dağıl,1
li,1
yatağ,1
seviye,1
kop,1
cisim,1
gerçeğ,1
yansı,1
sik,1
gözük,1
yüzölçüm,1
teknik,1
kroki,1
gr,1
iley,1
arar,1
dağla,1
buzul,1
birr,1
men,1
hava,1
katman,1
işaretle,1
hükmed,1
dayalı,1
inşa,1
kulüb,1
büfe,1
çardak,1
barak,1
hafif,1
dikil,1
ağaçla,1
yasağ,1
sadist,1
nakden,1
olumsuz,1
hoş,1
duma,1
buğu,1
toz,1
kok,1
gürültü,1
sarsıntı,1
tır,1
uzer,1
kökle,1
meyva,1
yağmur,1
öte,1
boru,1
hat,1
kablo,1
meral,1
tomruk,1
oluğ,1
geçitle,1
sera,1
mera,1
yabani,1
meyve,1
mantar,1
bura,1
kanat,1
afet,1
göl,1
kıyı,1
nirengi,1
güzel,1
manzara,1
seyirlik,1
ender,1
anıt,1
ılıca,1
maden,1
flama,1
toplu,1
girişim,1
kayna,1
kuyu,1
yatak,1
beslenen,1
besle,1
kadarki,1
ku,1
dere,1
vedi,1
sudan,1
zahmet,1
ihtiyac,1
taksitle,1
satım,1
ut,1
hükmen,1
sahiplen,1
ehli,1
vahşi,1
uç,1
ulan,1
ey,1
çabuk,1
göm,1
define,1
eser,1
egemen,1
bulan,1
kovan,1
göç,1
ikincil,1
mecbur,1
issa,1
oranla,1
yaya,1
araba,1
otla,1
tarla,1
ark,1
fak,1
bilen,1
sök,1
dikim,1
inti,1
ov,1
yang,1
kireç,1
mermer,1
turba,1
fırt,1
böcek,1
giderek,1
gereç,1
evra,1
şahs,1
mu,1
ortaklaşa,1
baki,1
ağım,1
konum,1
boyut,1
faydalan,1
kaydet,1
indirim,1
irad,1
borçlan,1
atış,1
spor,1
hizm,1
ser,1
katı,1
nü,1
yalnızca,1
ard,1
ör,1
düşük,1
döviz,1
işe,1
belir,1
namaz,1
mak,1
otel,1
döşe,1
süt,1
eksiğ,1
açın,1
ece,1
derecele,1
ra,1
vaded,1
run,1
um,1
ilerle,1
olası,1
zin,1
bel,1
erinç,1
ihbarla,1
okşa,1
enlem,1
riza,1
bilinmediğ,1
tedavül,1
kas,1
çıkmaz,1
hafifle,1
çıkarma,1
çekim,1
kooperatif,1
öden,1
askı,1
lup,1
hapsed,1
tacir,1
mey,1
birlik,1
ciro,1
bey,1
ani,1
varant,1
mık,1
hamil,1
sati,1
cari,1
umumi,1
mağaza,1
tercih,1
savun,1
defed,1
yakala,1
zil,1
etliğ,1
gasb,1
gasbed,1
fail,1
avun,1
pazar,1
eyle,1
vereceğ,1
bird,1
inşaat,1
gerilim,1
sü,1
eşdeğer,1
erkin,1
tel,1
inan,1
varlık,1
buka,1
melik,1
şubat,1
mevzuat,1
tablo,1
andiç,1
mahkemesi,1
