token,frequency
ve,1226
madde,1043
veya,924
bir,799
bu,432
için,267
olarak,262
ile,262
hakkı,257
da,216
olan,201
her,194
a,194
diğer,186
ilişkin,178
halinde,171
ı,166
b,163
vesayet,163
sona,158
mal,157
karar,155
taşınmaz,155
ana,154
ıı,153
e,145
isteyebilir,132
içinde,130
ya,129
ancak,124
tarafından,122
genel,121
tapu,121
karşı,120
miras,116
de,111
yerine,109
üzerinde,109
dava,106
göre,105
üzerine,104
hakim,102
yıl,101
hak,100
önce,99
uygun,98
kişisel,98
taşınmazın,98
rehin,96
ııı,95
biri,93
gerekli,93
geri,90
c,89
başlayarak,89
sonra,89
birlikte,88
en,88
mirasbırakanın,88
olur,87
eşlerden,86
intifa,86
tescil,84
kimse,83
üçüncü,82
bağlı,81
birinin,81
ise,80
gibi,80
üzere,77
yer,77
bulunan,77
kendisine,77
kendi,75
yasal,74
güvence,74
hükümler,73
özel,73
başka,73
tasarruf,73
mirasçı,73
yerleşim,72
aynı,71
o,71
çocuğun,70
yönetim,70
takdirde,70
aile,70
sulh,70
uygulanır,69
kişi,69
olduğu,69
baba,69
kişinin,68
olması,68
tarihli,68
sayılı,68
malik,68
resmi,67
kararı,67
mirasçılar,66
hükümleri,65
onun,64
ilgili,64
borç,63
saklı,63
yazılı,63
istemi,63
evlat,63
yeri,62
hakkında,62
ait,62
yoluyla,62
alacaklı,62
kütüğüne,61
eş,61
sahibi,61
sahip,60
ayırım,60
hakları,59
çocuk,58
bütün,57
süre,57
ay,57
hakkının,56
doğan,56
iv,55
alan,55
kanun,54
yükümlüdür,54
olmadıkça,54
d,53
ispat,53
olmayan,53
yapılan,53
mahkeme,53
iptal,53
altındaki,52
irtifak,52
tazminat,51
davası,51
irat,51
maliki,51
mirasın,51
taşınır,51
altına,50
ölüme,50
mirasbırakan,50
kabul,49
ortaklık,49
rehinli,49
verir,48
arasında,48
hallerde,48
vasi,48
eşin,47
sebebiyle,47
kalan,47
senedi,47
malın,47
etme,46
itiraz,46
üst,46
dışında,45
temsil,45
makamı,45
aksi,45
tereke,45
haklı,44
v,44
ilan,44
daha,44
ikinci,44
sağ,44
eşler,44
konusu,44
vasiyet,44
az,43
evlilik,43
eden,42
ileri,42
malları,42
boşanma,42
hakkına,41
üzerinden,41
sırasında,41
dernek,41
birinci,40
ayırt,40
evlenme,40
sayılır,40
bulunduğu,40
devam,40
bile,40
saklıdır,40
yapılır,40
k,40
ermesi,40
denetim,40
şekilde,40
paylı,40
ergin,39
beş,39
halde,39
üzerindeki,39
varsa,39
yetkili,39
suretiyle,39
aşağıdaki,39
önceki,38
yeni,38
korunması,38
tüzel,38
mülkiyet,38
on,37
ortak,37
son,37
verilen,37
eder,37
belirli,37
iyiniyetli,37
rejimi,37
mirası,37
yoksa,36
hakkın,36
çok,36
bağlıdır,36
ibaresi,36
terekenin,36
olağan,36
üç,36
değeri,36
alacak,36
kanunun,35
erer,35
büyük,35
tasfiye,35
iki,35
değer,35
kurulması,35
yetkisi,34
maddesiyle,34
malların,34
önemli,34
verilmesi,34
rejiminin,34
mallar,34
zilyet,34
ipotekli,34
hüküm,33
ölçüde,33
ortadan,33
makamının,33
gerekir,33
paylaşma,33
pay,33
hukuki,32
edilmiş,32
istem,32
olmak,32
cumhurbaşkanınca,32
sorumlu,32
teslim,32
kanunda,31
zorundadır,31
elde,31
alır,31
durum,31
verebilir,31
edilen,31
çıkarılan,31
önlemleri,31
resmen,31
borçlu,31
yükümlü,31
yüklü,31
an,30
babanın,30
verilmesini,30
belirlenir,30
özellikle,30
geçer,30
gün,30
yetki,30
kadar,30
edinilmiş,30
payı,30
malikin,30
haklar,29
koşulları,29
belli,29
olsa,29
aykırı,29
şeklinde,29
r,29
anayasa,29
olanak,29
giderleri,29
icra,29
rehnin,29
göz,28
önünde,28
hakkını,28
bunların,28
bölüm,28
kimsenin,28
sürekli,28
verme,28
mirasçılara,28
ölümü,28
edilir,28
kurulu,28
malvarlıkı,28
kamu,28
geçici,28
kurul,28
para,28
zamanaşımı,28
tabi,28
arazi,28
akıl,27
rızası,27
koşuluyla,27
süresi,27
hakimi,27
gereken,27
vakıf,27
mirasçıların,27
ödeme,27
koşullar,27
eşlerin,27
ret,27
mülkiyetinin,27
aksine,26
değildir,26
kişiler,26
birden,26
zorunlu,26
fıkrada,26
yapılması,26
mülkiyeti,26
yararlanma,26
geçmekle,26
nafaka,26
mallarının,26
bedel,26
devri,26
getirme,26
alacağın,26
mahkemece,25
ir,25
alınması,25
borcu,25
verilir,25
ev,25
kendilerine,25
yaptığı,25
yeniden,25
memuru,25
tarihten,25
vasinin,25
mirasçılardan,25
kalmak,24
kişiye,24
in,24
edebilir,24
fıkra,24
verilebilir,24
kaydıyla,24
mahkemesinin,24
sahibine,24
sonradan,24
yönetmelikle,24
tarihinden,24
vakfın,24
olmaksızın,24
açık,24
sözleşmesi,24
alacaklının,24
isteme,24
altında,23
fazla,23
sorumluluk,23
değiştirilmiştir,23
kuruluş,23
durumu,23
üye,23
katılma,23
öngörülen,23
vermekle,23
tabidir,23
isteyebilirler,23
bakımından,23
işletme,23
tamamı,23
lehine,23
rehni,23
malike,23
gücüne,22
gelen,22
etmek,22
zarar,22
türlü,22
edilebilir,22
altı,22
izin,22
hükümlerine,22
sebep,22
zaman,22
oranında,22
mallarını,22
paraya,22
ettiği,22
bunlar,22
şerh,22
ortaklığı,22
satış,22
vasiyetname,22
feragat,22
vasiyeti,22
alacaklıya,22
terkin,22
tescilin,22
fiil,21
küçük,21
meydana,21
kayıtlı,21
kararıyla,21
ölüm,21
uncu,21
bulunması,21
uyarınca,21
yapılmış,21
ne,21
borçlunun,21
tasarrufta,21
ödenmesi,21
kayyım,21
durumun,20
kısım,20
evliliğin,20
oturma,20
değişik,20
olunur,20
esas,20
böyle,20
olup,20
amacıyla,20
eşi,20
makamına,20
herhangi,20
geçerli,20
bunun,20
gerek,20
sorumludur,20
meslek,20
payının,20
muaccel,20
alacaklılar,20
şeyin,20
arazinin,20
iyiniyetle,20
ipotek,20
kural,19
ona,19
hukuka,19
yükü,19
bulunmadıkça,19
biçimde,19
kanuna,19
velayet,19
bakım,19
kişilere,19
açabilir,19
hükmü,19
olduğunu,19
usulü,19
khknın,19
varlığı,19
belirtilen,19
yükümlüdürler,19
çıkarma,19
altsoyu,19
birine,19
kurulmuş,19
sadece,19
sözleşmesiyle,19
eski,19
denkleştirme,19
tenkis,19
si,19
defter,19
elbirliği,19
taşınmazlar,19
ayni,19
şey,19
kapsamı,18
açıkça,18
hakimin,18
sebepleri,18
hukuku,18
kişilik,18
ehliyeti,18
yüzünden,18
hastalığı,18
karşılıksız,18
ayrıca,18
başvurusu,18
derneğin,18
bildirir,18
karara,18
deftere,18
düzenleme,18
yalnız,18
yeterli,18
hakların,18
değilse,18
zilyetlik,18
izni,18
sebebin,18
gerektirdiği,18
mallara,18
giderler,18
yükümlülüğü,18
taşınmazı,18
mirastan,18
mirasçıya,18
haklarını,17
sahiptir,17
eğitim,17
edinme,17
kullanılması,17
beri,17
tescile,17
kaldırılması,17
olanlar,17
işlemleri,17
sebeple,17
yerel,17
işleri,17
görevi,17
mahkemesi,17
olmasına,17
mirasçıları,17
diğerinin,17
lir,17
ayrı,17
ağır,17
olursa,17
yönetimi,17
sözleşme,17
konu,17
alacağı,17
kazandırmalar,17
malı,17
düşen,17
kimseye,17
kıymetli,17
yapı,17
kalır,17
doğal,17
başkasının,17
şeyi,17
buna,16
başlar,16
değiştirilmesi,16
sağlık,16
iş,16
haklarının,16
nüfus,16
veren,16
gaiplik,16
düşer,16
vermek,16
gelir,16
mülga,16
sürenin,16
yok,16
ekonomik,16
alacaklıların,16
yardım,16
mali,16
yararlanan,16
yıllık,16
evlenmenin,16
derecede,16
olmadan,16
menfaati,16
sosyal,16
borçları,16
kararlaştırılmış,16
alacakları,16
faiz,16
ödünç,16
aşan,16
herkes,15
kısıtlı,15
istenebilir,15
kesin,15
sahibinin,15
dernekler,15
inci,15
kazanılması,15
derhal,15
konusunda,15
kendiliğinden,15
alınır,15
arasındaki,15
şekli,15
sonuçları,15
reddi,15
vı,15
mevcut,15
kurallar,15
benzeri,15
tehlikeye,15
sonraki,15
sırada,15
değerinin,15
mirasçılarına,15
aittir,15
koruma,15
zararın,15
bedeli,15
hapis,15
atanmış,15
kısmı,15
vasiyetnamenin,15
mülkiyetin,15
taşınışın,15
senedinin,15
borçlar,14
gerçek,14
durumlar,14
rıza,14
kan,14
zamanda,14
yabancı,14
henüz,14
yerde,14
istemde,14
ortaya,14
tespit,14
tutulur,14
rücu,14
edilmesi,14
amacı,14
er,14
kurum,14
otuz,14
bildirilir,14
yapılacak,14
bildirmek,14
hale,14
senet,14
sorumluluğu,14
almak,14
karşılığında,14
zamanaşımına,14
edinen,14
anlaşılmadıkça,14
dördüncü,14
etmesi,14
n,14
eşya,14
payına,14
çocuğa,14
küçüğün,14
miktarı,14
onu,14
kurulabilir,14
ödemeden,14
taşınmazların,14
tenkise,14
terekeye,14
mirasçının,14
başkasına,14
asıl,13
hakkaniyete,13
yaşını,13
rızasıyla,13
yoksun,13
kişilerin,13
maddi,13
üstün,13
h,13
ödenmesini,13
dayanarak,13
gerektiren,13
ilk,13
tazmin,13
evli,13
bununla,13
bağımsız,13
tasfiyesi,13
cumhuriyet,13
eşit,13
geç,13
olağanüstü,13
görevden,13
adına,13
bulunmayan,13
belirlenen,13
evlendirme,13
le,13
su,13
hayat,13
ayrılık,13
gerektiğinde,13
biçiminde,13
ilişki,13
yere,13
olurlar,13
eşe,13
önlemlerin,13
ayrılığına,13
borcun,13
payını,13
haller,13
edinenin,13
el,13
borçluya,13
iflas,13
alma,13
mirasbırakandan,13
sigorta,13
mirasçılıktan,13
bütünleyici,13
devir,13
önalım,13
kuralları,12
sınırları,12
tür,12
kısmen,12
manevi,12
yarar,12
verdiği,12
davacının,12
adı,12
bunu,12
kararının,12
ölmüş,12
aynen,12
açılır,12
çocuklar,12
işlemler,12
soybağının,12
dolayı,12
ölçüsünde,12
olma,12
bulunmadığı,12
alınan,12
ek,12
geçerlidir,12
durumunda,12
alabilir,12
görevini,12
dahil,12
sonucunda,12
kurulan,12
tebliğ,12
mahkemesince,12
kıyas,12
kusuru,12
yüz,12
engel,12
ederse,12
geçmesi,12
açma,12
doğrudan,12
boşanmaya,12
kötü,12
önlemler,12
tasarruftan,12
ak,12
tamamen,12
durumda,12
kapsar,12
karşılığı,12
işletmenin,12
mülkiyete,12
kullanma,12
paylaşmanın,12
evlatlık,12
duruma,12
hesap,12
aciz,12
mirasçılık,12
tutma,12
devlet,12
taşınmazlarda,12
görevlisi,12
alacaklısı,12
yapılar,12
terkini,12
senetlerin,12
sonuç,11
durumlarda,11
varlığını,11
oldukları,11
bulunabilir,11
niteliği,11
anda,11
uzun,11
yapılmasına,11
organları,11
sınırlı,11
hükümlere,11
önceden,11
geçen,11
tüzük,11
bulunur,11
zorunludur,11
anı,11
tüzükte,11
gereğince,11
sebeplerle,11
düzenlenir,11
toplantıya,11
hazır,11
görev,11
ki,11
g,11
tasarrufla,11
yetkisinin,11
verilmiş,11
vasiyetnameyi,11
resen,11
borçlarından,11
y,11
tescili,11
alacaklılarının,11
ol,11
yönetimin,11
evlenmeye,11
ermesinden,11
memur,11
sözlü,11
s,11
hemen,11
tarafların,11
alınmasını,11
doğruya,11
konutu,11
yapabilir,11
değişmesi,11
ödenmesine,11
özen,11
ailenin,11
yetkisini,11
haline,11
edebilirler,11
ortaklığın,11
borçlardan,11
etmekle,11
onların,11
sürülebilir,11
tarımsal,11
sağlararası,11
mallarına,11
bakımı,11
kat,11
ortakların,11
yurdu,11
alacaklılara,11
edilmedikçe,11
tasarrufun,11
kısıtlama,11
şeyler,11
taraftaki,11
tamamını,11
açılması,11
değerini,11
kurtarma,11
malikinin,11
sahipsiz,11
malzeme,11
çevrilmesi,11
zilyetliğin,11
senedin,11
hamile,11
hukuk,10
kendisinden,10
takdir,10
şekle,10
kişiyi,10
sorumludurlar,10
m,10
kusurlu,10
den,10
olmadığı,10
hiç,10
yargılama,10
amaç,10
amaca,10
gereği,10
dışındaki,10
yakın,10
al,10
yükümlülükleri,10
tüzükle,10
göstermekle,10
hallerinde,10
mahkemeye,10
mutlak,10
kurulur,10
temsilci,10
vakıflar,10
ilgililerin,10
yapacağı,10
sebepler,10
rapor,10
uğrar,10
yapılabilir,10
açılabilir,10
tehlike,10
kendisinin,10
yüzden,10
süresince,10
korunmasına,10
yıldan,10
işlemeye,10
yetkilidir,10
velayetin,10
babadan,10
zorundadırlar,10
yararı,10
sözleşmenin,10
getirilmesi,10
değerleri,10
yönetme,10
bundan,10
kazandırma,10
artık,10
belirlenmesi,10
eşyası,10
sanat,10
değişiklik,10
ortaklığa,10
mir,10
kocanın,10
yazılır,10
la,10
miktar,10
olabilir,10
devlete,10
teslimi,10
açıldığı,10
borçtan,10
hem,10
sahiplerine,10
alacaklıları,10
bölünmesi,10
paydaşlar,10
malikine,10
taşınmaza,10
kanuni,10
konularda,9
âdet,9
ehil,9
isteği,9
zayıflığı,9
olamaz,9
bulunma,9
nitelikte,9
kararın,9
öğrendiği,9
kaldırılmasını,9
haber,9
olanların,9
gaipliğine,9
tarihinin,9
bilgi,9
düşmesi,9
gaibin,9
gösterilir,9
şarttır,9
kütüğü,9
yerin,9
kaydı,9
özgülenmesi,9
f,9
içeriği,9
bildirimi,9
lan,9
üyelerin,9
amacın,9
tamamının,9
kendisi,9
yukarıdaki,9
gelirleri,9
kamuya,9
özgülenen,9
taraf,9
tarafın,9
babası,9
miktarda,9
sakınca,9
gücünden,9
olacak,9
düşürücü,9
sebebinin,9
birliği,9
çocukların,9
dilerse,9
sebebi,9
vıı,9
şerhin,9
sürece,9
kurulmasına,9
kaybı,9
değerler,9
karşılık,9
tarihte,9
mallarından,9
et,9
tek,9
yararına,9
giren,9
soybağı,9
koşullara,9
karine,9
bırakılan,9
yolu,9
atanır,9
kısmın,9
ortaklardan,9
görevli,9
göreve,9
ine,9
belge,9
tasarrufu,9
terekedeki,9
kısmının,9
beyan,9
alacaklarının,9
istihkak,9
ürünler,9
paydaşlardan,9
beyanlar,9
yükten,9
nasıl,8
borçlarını,8
düştüğü,8
hangi,8
vardır,8
gücü,8
haksız,8
doğum,8
uygulanmaz,8
yerinin,8
ahlaka,8
aşı,8
isteminde,8
dolayısıyla,8
mahkemesinde,8
gerektiriyorsa,8
siciline,8
tarih,8
babasının,8
mahkemesidir,8
geçmiş,8
doğurur,8
tutulan,8
sicilinin,8
hiçbir,8
isteyen,8
doldurmuş,8
kütüğünde,8
kütüğe,8
kurma,8
belgelerin,8
kararına,8
sebeplerin,8
iddia,8
yükümlülükler,8
tam,8
alınabilir,8
iptali,8
iptalini,8
işi,8
erme,8
kurabilir,8
görülen,8
belgeler,8
sıfatıyla,8
kazanır,8
sicile,8
kurulmasını,8
bildirim,8
yapmış,8
kaçınma,8
diğerine,8
hâkim,8
kalkması,8
verilemez,8
yükümlülüklerini,8
terk,8
serbestçe,8
kabulü,8
devamı,8
soyadını,8
aralarında,8
ölen,8
anlaşmalar,8
kira,8
belirleyeceği,8
cebri,8
borçların,8
ödemek,8
artış,8
yükümlülük,8
alım,8
paylaştırma,8
hakka,8
sözleşmeden,8
başına,8
karşılanır,8
erince,8
babalık,8
süreler,8
ilişkisi,8
kuruma,8
inin,8
girer,8
eğitimi,8
mesi,8
sağlığında,8
dayanan,8
usul,8
vesayeti,8
vasiliğe,8
atanması,8
vesayetin,8
artırma,8
iyi,8
mira,8
çıkması,8
terekeden,8
arzularını,8
devrini,8
alınmış,8
rehnedilmiş,8
borcunu,8
paydaş,8
sınır,8
parçası,8
kısıtlamaları,8
arazisine,8
komşu,8
mülkiyetine,8
kaynak,8
yükünün,8
rehinden,8
ipotekten,8
zilyetliği,8
idiyse,7
yararlanır,7
kurallarına,7
uymak,7
yet,7
sicil,7
senetler,7
biriyle,7
küçüklerin,7
yoktur,7
gösterilen,7
kısıtlılar,7
kalma,7
oturduğu,7
aşırı,7
saldırıya,7
davalının,7
kayıt,7
ölü,7
ölümünde,7
ger,7
sicili,7
şahsen,7
araştırma,7
bulunmuş,7
değişiklikler,7
edilmiştir,7
mülki,7
kişiliği,7
kurulamaz,7
kazanma,7
asliye,7
kaydedilir,7
metninden,7
çıkarılmıştır,7
kurulunca,7
üyeleri,7
çıkan,7
borçlarının,7
çağrı,7
yetkileri,7
kararları,7
işlem,7
düşerse,7
defa,7
şube,7
açabilirler,7
şa,7
yararlı,7
düzenlenmiş,7
mahkemesine,7
koşulların,7
temsilcinin,7
konuda,7
kısıtlının,7
bunlardan,7
dini,7
yönelik,7
şekil,7
doğmuş,7
t,7
noter,7
ed,7
gerektiği,7
doğacak,7
birliğinin,7
beraber,7
davanın,7
biçimi,7
bilir,7
gelecek,7
olmaz,7
birliğin,7
ihtiyaçları,7
işlerini,7
miktarının,7
yaşama,7
sebebe,7
konut,7
sınırlar,7
sözleşmesinin,7
güvenlik,7
anlaşma,7
anındaki,7
ödenmiş,7
alacaklar,7
mahsup,7
öğrendikleri,7
sine,7
paylaşmaya,7
tanıma,7
ilişkide,7
doğar,7
babaya,7
evlât,7
at,7
yürürlüğe,7
süreden,7
dairelerinin,7
dan,7
çık,7
arılan,7
velayeti,7
olanlara,7
tevdi,7
korumak,7
özgülenme,7
ortaklar,7
payları,7
yönetici,7
elverişli,7
uyuşturucu,7
bağımlılığı,7
raporu,7
yerinde,7
gecikmeden,7
vasiye,7
kullanabilir,7
evrakın,7
girme,7
ödemekle,7
sözleşmeleri,7
zararlardan,7
olmasa,7
satın,7
anında,7
tarihin,7
tasarruflar,7
alacaklarını,7
karşılayacak,7
arta,7
payların,7
eklenti,7
paydaşların,7
kazandırıcı,7
yapıyı,7
suyun,7
geçit,7
hayvan,7
türk,7
kanununun,6
taraflardan,6
ehliyetine,6
kılar,6
benzer,6
bulunmaması,6
ayrık,6
hısımları,6
edinilmesine,6
yerini,6
kişiliğin,6
istenemez,6
zedelenen,6
bildirilmesi,6
uğradığı,6
verildiği,6
soyadı,6
rahmine,6
andan,6
anlaşılırsa,6
usulüne,6
yapıldığı,6
ispatlanmış,6
kullanılır,6
amaçla,6
edilmek,6
yapılamaz,6
hakkındaki,6
ilgilinin,6
sütununa,6
kazanırlar,6
organı,6
belgeleri,6
tebliğinden,6
feshi,6
savcısı,6
maddenin,6
yapmak,6
oy,6
zorunda,6
oluşur,6
toplantı,6
aldığı,6
yönetmek,6
ibare,6
hakkından,6
yapar,6
ödemede,6
acze,6
faaliyette,6
istemiyle,6
görüşü,6
hu,6
karşılıklı,6
hususlar,6
un,6
anlaşılan,6
noterlikçe,6
belirlenmiş,6
edilmesini,6
getirilmesini,6
senedine,6
yaparak,6
kılan,6
sağlar,6
dağıtılır,6
evlenmeden,6
ödemeler,6
birbirlerine,6
hediyeler,6
erkek,6
kadın,6
evlenemez,6
kadının,6
gebe,6
birbiriyle,6
başkanı,6
gösteren,6
evrak,6
kazanan,6
yanılma,6
korkutma,6
olmaktan,6
iptaline,6
evlenmesi,6
ar,6
korur,6
davaya,6
sebebini,6
ihtar,6
etmiş,6
davalı,6
tutarak,6
ayrılığa,6
düşecek,6
kalkar,6
fiilen,6
durumlarına,6
kaldırılmasına,6
nan,6
ilişkisinin,6
bunları,6
konudaki,6
müteselsilen,6
edilmesine,6
belirlenmesinde,6
yükümlülüğünü,6
taraflar,6
temsilcisi,6
zarara,6
ortaklığının,6
söz,6
yapılmışsa,6
aşağıda,6
sözleşmeye,6
mülkiyetinde,6
katkıda,6
bulunmuşsa,6
değerine,6
hesaplanır,6
ödenecek,6
bağlanmış,6
erdiği,6
alacağını,6
zamanındaki,6
alacağının,6
yarısı,6
borçludan,6
taşınmazlara,6
ayrılığı,6
isteminin,6
şerhi,6
güvenceye,6
mı,6
geçiş,6
mahsuben,6
sürebilir,6
doğumdan,6
tanıyanın,6
olmasından,6
kayyıma,6
aya,6
fiili,6
durumları,6
yükümlülüklerine,6
bakanlar,6
hükümden,6
atar,6
haklarına,6
ini,6
eri,6
hesabı,6
mad,6
hakimine,6
ondan,6
yaşayan,6
zarardan,6
ödeyerek,6
payın,6
ölümünden,6
kütüğündeki,6
alkol,6
yol,6
getirmekle,6
vermeden,6
kısıtlanması,6
atama,6
atayabilir,6
yirmi,6
defteri,6
şeylerin,6
taşınırlar,6
paranın,6
artırmayla,6
devletin,6
olmasıyla,6
bırakana,6
etkisi,6
gideri,6
mirasbira,6
bırakma,6
orantılı,6
artmıraşçı,6
onmirasçı,6
malını,6
terekeyi,6
arzusunun,6
tutulması,6
elinde,6
zilyedin,6
bulan,6
geçerliliği,6
şeye,6
kamulaştırma,6
tescilden,6
zilyetliğini,6
kaynaklar,6
kapsamına,6
alt,6
orman,6
zanaatkarlar,6
nama,6
tahvil,6
rehnedilen,6
kullanılmasını,5
bulunamaz,5
doğru,5
sebeplerden,5
tir,5
gücünün,5
doğurmaz,5
küçükler,5
hısımlığı,5
birbirine,5
diğerinden,5
kayın,5
ticari,5
kuruluşlar,5
ceza,5
onları,5
kim,5
sebeplerinden,5
davalar,5
davacı,5
ermiş,5
tespitini,5
erine,5
geçmez,5
adın,5
tarihi,5
günden,5
ehliyetini,5
sinin,5
kaydın,5
tehlikesi,5
eğer,5
ilandan,5
devletçe,5
katılması,5
memura,5
davaları,5
düzeltme,5
cinsiyet,5
dışı,5
resmî,5
iradesi,5
olar,5
eren,5
kişileri,5
kuruluşu,5
gerçekleştirmek,5
tüzüğü,5
tüzüğünde,5
üyelik,5
aykırılık,5
edildiği,5
istenir,5
iç,5
yazıyla,5
nitelikleri,5
edilemez,5
bazı,5
gerçekleşmesi,5
gördüğü,5
çağrılır,5
kararlar,5
u,5
istenen,5
gazete,5
yoksunluk,5
kararlarına,5
olmamak,5
görevleri,5
olanaksız,5
yasak,5
yurt,5
açılacak,5
oluşan,5
işleminin,5
başvurma,5
hakiminin,5
ilgililer,5
yönetmelik,5
senedinde,5
yeterince,5
vakfı,5
yönetime,5
arin,5
senedindeki,5
gelirlerini,5
görüşünü,5
aldıktan,5
bağlar,5
kimseler,5
taraftan,5
olmayanlar,5
temsilcisinin,5
evlenmek,5
töreni,5
butlan,5
açılan,5
belgesi,5
işlemi,5
butlanı,5
sınırlanması,5
gücünü,5
aldatma,5
oluşturan,5
yönünden,5
zina,5
diğeri,5
işleme,5
kimin,5
bizzat,5
hususunda,5
süresinin,5
davada,5
nafakanın,5
toptan,5
ıradın,5
bağlayabilir,5
alacaklısının,5
sözleşmeyle,5
menfaatine,5
giderlerine,5
giderlerin,5
sağlamak,5
emek,5
temsili,5
işlemlerden,5
kaldırabilir,5
belirler,5
ara,5
kaçınması,5
tasarrufların,5
farklı,5
ikisi,5
tamamlanması,5
vermekten,5
dönme,5
kurtarabilir,5
nedeniyle,5
ödenen,5
erdirilmesine,5
usule,5
hesaba,5
ihbar,5
değerinden,5
önüne,5
sürüm,5
geçim,5
sözleşmesinde,5
öngörülmüş,5
tanınmasını,5
paylaşmadan,5
kazandırmaların,5
paylar,5
bedelinin,5
konutta,5
edeceği,5
beşinci,5
sözleşmede,5
kanunla,5
rızanın,5
alınmasına,5
geçtikten,5
ananın,5
olmadığını,5
atanacak,5
tanımanın,5
ölmüşse,5
süreyle,5
bulunuyorsa,5
yapan,5
bedensel,5
muhtaç,5
kesinleşmiş,5
usuli,5
menfaatini,5
göstermek,5
ödenir,5
ettikleri,5
olanağı,5
evi,5
kayyımın,5
alarak,5
belirlediği,5
alacaklısına,5
gözetim,5
özenle,5
almakla,5
bedelin,5
bulunmak,5
arı,5
ortağın,5
durumuna,5
rehniyle,5
gösterdiği,5
meclisi,5
görevlerini,5
tarzı,5
cezasının,5
işlerinde,5
vasilikten,5
vereceği,5
rehnedilmesi,5
kullanılabilir,5
ön,5
değerli,5
satılması,5
hesabın,5
yapmakla,5
